20.5,0.2090,0.1689,0.0406,0.2165,0.3104,0.1842,0.1446,0.0380,0.1666,0.3075
20.75,0.2092,0.1694,0.0401,0.2174,0.3097,0.1842,0.1450,0.0375,0.1683,0.3091
21,0.2091,0.1697,0.0397,0.2180,0.3086,0.1841,0.1453,0.0370,0.1698,0.3104
21.25,0.2089,0.1698,0.0392,0.2183,0.3073,0.1840,0.1456,0.0366,0.1712,0.3113
21.5,0.2084,0.1698,0.0387,0.2183,0.3057,0.1838,0.1458,0.0360,0.1725,0.3120
21.75,0.2079,0.1696,0.0382,0.2182,0.3039,0.1835,0.1459,0.0355,0.1737,0.3124
22,0.2071,0.1692,0.0377,0.2178,0.3018,0.1832,0.1460,0.0350,0.1747,0.3126
22.25,0.2063,0.1687,0.0372,0.2173,0.2995,0.1828,0.1461,0.0345,0.1756,0.3125
22.5,0.2053,0.1681,0.0367,0.2166,0.2971,0.1823,0.1461,0.0340,0.1764,0.3122
22.75,0.2042,0.1674,0.0362,0.2158,0.2944,0.1818,0.1460,0.0334,0.1771,0.3118
23,0.2030,0.1665,0.0357,0.2149,0.2916,0.1812,0.1459,0.0329,0.1777,0.3112
23.25,0.2016,0.1656,0.0351,0.2138,0.2886,0.1806,0.1457,0.0324,0.1782,0.3104
23.5,0.2002,0.1646,0.0346,0.2127,0.2855,0.1799,0.1455,0.0319,0.1787,0.3096
23.75,0.1987,0.1635,0.0341,0.2114,0.2823,0.1792,0.1452,0.0314,0.1791,0.3086
24,0.1970,0.1623,0.0335,0.2101,0.2790,0.1785,0.1449,0.0309,0.1793,0.3076
24.25,0.1954,0.1611,0.0330,0.2087,0.2756,0.1777,0.1446,0.0304,0.1796,0.3065
24.5,0.1936,0.1598,0.0325,0.2072,0.2721,0.1769,0.1443,0.0299,0.1797,0.3053
24.75,0.1918,0.1585,0.0319,0.2057,0.2686,0.1761,0.1440,0.0294,0.1798,0.3041
25,0.1899,0.1571,0.0314,0.2042,0.2650,0.1753,0.1436,0.0289,0.1799,0.3028
25.25,0.1880,0.1557,0.0308,0.2026,0.2614,0.1745,0.1433,0.0284,0.1799,0.3015
25.5,0.1861,0.1542,0.0303,0.2009,0.2577,0.1737,0.1429,0.0279,0.1798,0.3002
25.75,0.1841,0.1528,0.0297,0.1993,0.2541,0.1729,0.1426,0.0275,0.1797,0.2988
26,0.1821,0.1513,0.0292,0.1976,0.2504,0.1721,0.1422,0.0270,0.1796,0.2975
26.25,0.1801,0.1498,0.0287,0.1959,0.2468,0.1713,0.1419,0.0266,0.1794,0.2962
26.5,0.1781,0.1482,0.0281,0.1941,0.2432,0.1705,0.1415,0.0261,0.1792,0.2948
26.75,0.1760,0.1467,0.0276,0.1924,0.2396,0.1697,0.1411,0.0257,0.1790,0.2935
27,0.1739,0.1451,0.0271,0.1907,0.2361,0.1690,0.1408,0.0253,0.1787,0.2921
27.25,0.1718,0.1435,0.0266,0.1890,0.2327,0.1682,0.1404,0.0249,0.1784,0.2907
27.5,0.1697,0.1419,0.0261,0.1873,0.2293,0.1674,0.1400,0.0245,0.1781,0.2894
27.75,0.1677,0.1403,0.0256,0.1856,0.2260,0.1666,0.1396,0.0241,0.1777,0.2880
28,0.1656,0.1387,0.0252,0.1839,0.2228,0.1658,0.1392,0.0237,0.1773,0.2865
28.25,0.1635,0.1371,0.0247,0.1822,0.2196,0.1650,0.1388,0.0234,0.1769,0.2851
28.5,0.1615,0.1355,0.0243,0.1805,0.2165,0.1642,0.1383,0.0230,0.1765,0.2836
28.75,0.1594,0.1339,0.0238,0.1788,0.2135,0.1634,0.1379,0.0226,0.1760,0.2821
29,0.1574,0.1323,0.0234,0.1771,0.2105,0.1625,0.1374,0.0223,0.1755,0.2806
29.25,0.1554,0.1307,0.0230,0.1754,0.2076,0.1617,0.1370,0.0219,0.1750,0.2791
29.5,0.1534,0.1291,0.0225,0.1738,0.2048,0.1608,0.1365,0.0216,0.1745,0.2775
29.75,0.1514,0.1275,0.0221,0.1721,0.2020,0.1599,0.1360,0.0212,0.1739,0.2759
30,0.1495,0.1259,0.0217,0.1705,0.1993,0.1590,0.1355,0.0208,0.1734,0.2743
30.25,0.1475,0.1243,0.0214,0.1688,0.1966,0.1581,0.1350,0.0205,0.1728,0.2726
30.5,0.1455,0.1227,0.0210,0.1672,0.1940,0.1572,0.1344,0.0201,0.1721,0.2710
30.75,0.1436,0.1211,0.0206,0.1656,0.1914,0.1562,0.1339,0.0198,0.1715,0.2693
31,0.1417,0.1195,0.0202,0.1640,0.1889,0.1553,0.1333,0.0194,0.1708,0.2676
31.25,0.1397,0.1179,0.0199,0.1624,0.1864,0.1543,0.1327,0.0191,0.1701,0.2659
31.5,0.1378,0.1162,0.0196,0.1608,0.1839,0.1533,0.1321,0.0187,0.1694,0.2642
31.75,0.1359,0.1146,0.0192,0.1593,0.1814,0.1523,0.1315,0.0183,0.1686,0.2624
32,0.1340,0.1130,0.0189,0.1577,0.1790,0.1512,0.1309,0.0180,0.1679,0.2607
32.25,0.1321,0.1115,0.0186,0.1562,0.1766,0.1501,0.1302,0.0176,0.1671,0.2589
32.5,0.1302,0.1099,0.0182,0.1546,0.1743,0.1490,0.1295,0.0172,0.1663,0.2571
32.75,0.1283,0.1083,0.0179,0.1531,0.1719,0.1479,0.1288,0.0169,0.1655,0.2553
33,0.1265,0.1067,0.0176,0.1516,0.1696,0.1467,0.1280,0.0165,0.1646,0.2534
33.25,0.1246,0.1052,0.0173,0.1501,0.1673,0.1456,0.1273,0.0161,0.1637,0.2515
33.5,0.1227,0.1036,0.0169,0.1486,0.1650,0.1444,0.1265,0.0157,0.1628,0.2495
33.75,0.1209,0.1021,0.0166,0.1471,0.1628,0.1431,0.1257,0.0153,0.1619,0.2475
34,0.1190,0.1006,0.0163,0.1456,0.1605,0.1418,0.1248,0.0149,0.1610,0.2455
34.25,0.1172,0.0990,0.0159,0.1441,0.1582,0.1406,0.1239,0.0145,0.1600,0.2434
34.5,0.1153,0.0975,0.0156,0.1425,0.1560,0.1392,0.1231,0.0141,0.1590,0.2412
34.75,0.1135,0.0960,0.0153,0.1410,0.1537,0.1379,0.1221,0.0137,0.1580,0.2390
35,0.1116,0.0945,0.0149,0.1395,0.1514,0.1365,0.1212,0.0133,0.1569,0.2367
35.25,0.1097,0.0930,0.0146,0.1380,0.1491,0.1351,0.1202,0.0129,0.1558,0.2343
35.5,0.1078,0.0915,0.0142,0.1364,0.1468,0.1337,0.1193,0.0124,0.1547,0.2319
35.75,0.1059,0.0900,0.0139,0.1348,0.1445,0.1322,0.1183,0.0120,0.1536,0.2295
